"unitid","institution name","year","EF2022A.Level of student","EF2022A.Grand total","EF2022A.Grand total men","EF2022A.Grand total women","EF2022A.American Indian or Alaska Native total","EF2022A.American Indian or Alaska Native men","EF2022A.American Indian or Alaska Native women","EF2022A.Asian total","EF2022A.Asian men","EF2022A.Asian women","EF2022A.Black or African American total","EF2022A.Black or African American men","EF2022A.Black or African American women","EF2022A.Hispanic total","EF2022A.Hispanic men","EF2022A.Hispanic women","EF2022A.Native Hawaiian or Other Pacific Islander total","EF2022A.Native Hawaiian or Other Pacific Islander men","EF2022A.Native Hawaiian or Other Pacific Islander women","EF2022A.White total","EF2022A.White men","EF2022A.White women","EF2022A.Two or more races total","EF2022A.Two or more races men","EF2022A.Two or more races women","EF2022A.Race/ethnicity unknown total","EF2022A.Race/ethnicity unknown men","EF2022A.Race/ethnicity unknown women","EF2022A.U.S. Nonresident total","EF2022A.U.S. Nonresident men","EF2022A.U.S. Nonresident women","EF2022A.Gender unknown","EF2022A.Another gender","EF2022A.Total of gender unknown and another gender","EF2022A.Total gender reported as one of the mutually exclusive binary categories (Men/Women)","IDX_EF"
"100654","Alabama A & M University","2022","All students total","6007","2369","3638","16","6","10","16","7","9","5136","2011","3125","63","24","39","8","2","6","119","53","66","66","20","46","473","180","293","110","66","44","0",,"0","6007","-2"
"100654","Alabama A & M University","2022","All students, Undergraduate total","5206","2111","3095","13","4","9","11","6","5","4658","1868","2790","59","22","37","8","2","6","103","46","57","66","20","46","228","105","123","60","38","22","0",,"0","5206","-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Degree/certificate-seeking total","5196","2107","3089","13","4","9","10","5","5","4653","1866","2787","57","22","35","8","2","6","103","46","57","66","20","46","226","104","122","60","38","22",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","1557","622","935","3","2","1","2","0","2","1388","542","846","22","4","18","4","1","3","19","8","11","23","6","17","77","42","35","19","17","2",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Other degree/certificate-seeking","3639","1485","2154","10","2","8","8","5","3","3265","1324","1941","35","18","17","4","1","3","84","38","46","43","14","29","149","62","87","41","21","20",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Non-degree/certificate-seeking","10","4","6","0","0","0","1","1","0","5","2","3","2","0","2","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Graduate","801","258","543","3","2","1","5","1","4","478","143","335","4","2","2","0","0","0","16","7","9","0","0","0","245","75","170","50","28","22","0",,"0","801","-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","209","87","122","1","0","1","0","0","0","172","71","101","3","1","2","0","0","0","19","8","11","5","2","3","4","3","1","5","2","3",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Continuing","3430","1398","2032","9","2","7","8","5","3","3093","1253","1840","32","17","15","4","1","3","65","30","35","38","12","26","145","59","86","36","19","17",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students total","5262","2074","3188","11","3","8","10","5","5","4549","1776","2773","54","20","34","7","2","5","97","41","56","62","18","44","379","150","229","93","59","34",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate total","4794","1937","2857","11","3","8","9","5","4","4296","1712","2584","51","19","32","7","2","5","90","40","50","62","18","44","209","100","109","59","38","21",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Degree/certificate-seeking total","4792","1936","2856","11","3","8","9","5","4","4295","1711","2584","50","19","31","7","2","5","90","40","50","62","18","44","209","100","109","59","38","21",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","1547","618","929","3","2","1","2","0","2","1381","540","841","22","4","18","4","1","3","18","8","10","23","6","17","75","40","35","19","17","2",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","3245","1318","1927","8","1","7","7","5","2","2914","1171","1743","28","15","13","3","1","2","72","32","40","39","12","27","134","60","74","40","21","19",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Non-degree/certificate-seeking","2","1","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Graduate","468","137","331","0","0","0","1","0","1","253","64","189","3","1","2","0","0","0","7","1","6","0","0","0","170","50","120","34","21","13",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","196","82","114","1","0","1","0","0","0","164","67","97","1","1","0","0","0","0","17","7","10","5","2","3","4","3","1","4","2","2",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","3049","1236","1813","7","1","6","7","5","2","2750","1104","1646","27","14","13","3","1","2","55","25","30","34","10","24","130","57","73","36","19","17",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students total","745","295","450","5","3","2","6","2","4","587","235","352","9","4","5","1","0","1","22","12","10","4","2","2","94","30","64","17","7","10",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate total","412","174","238","2","1","1","2","1","1","362","156","206","8","3","5","1","0","1","13","6","7","4","2","2","19","5","14","1","0","1",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Degree/certificate-seeking total","404","171","233","2","1","1","1","0","1","358","155","203","7","3","4","1","0","1","13","6","7","4","2","2","17","4","13","1","0","1",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","10","4","6","0","0","0","0","0","0","7","2","5","0","0","0","0","0","0","1","0","1","0","0","0","2","2","0","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","394","167","227","2","1","1","1","0","1","351","153","198","7","3","4","1","0","1","12","6","6","4","2","2","15","2","13","1","0","1",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Non-degree/certificate-seeking","8","3","5","0","0","0","1","1","0","4","1","3","1","0","1","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Graduate","333","121","212","3","2","1","4","1","3","225","79","146","1","1","0","0","0","0","9","6","3","0","0","0","75","25","50","16","7","9",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","13","5","8","0","0","0","0","0","0","8","4","4","2","0","2","0","0","0","2","1","1","0","0","0","0","0","0","1","0","1",,,,,"-2"
"100654","Alabama A & M University","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","381","162","219","2","1","1","1","0","1","343","149","194","5","3","2","1","0","1","10","5","5","4","2","2","15","2","13","0","0","0",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students total","21639","7903","13736","36","12","24","1551","604","947","4590","1272","3318","1111","411","700","10","5","5","11055","4139","6916","825","288","537","985","301","684","1476","871","605","0",,"0","21639","-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate total","13032","4884","8148","20","10","10","1066","423","643","3309","1002","2307","923","339","584","6","2","4","6661","2681","3980","637","228","409","82","29","53","328","170","158","0",,"0","13032","-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Degree/certificate-seeking total","12776","4794","7982","20","10","10","1046","413","633","3230","982","2248","908","336","572","6","2","4","6554","2641","3913","627","227","400","82","29","53","303","154","149",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","2217","755","1462","2","1","1","240","90","150","629","174","455","195","60","135","0","0","0","979","370","609","123","38","85","18","3","15","31","19","12",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Other degree/certificate-seeking","10559","4039","6520","18","9","9","806","323","483","2601","808","1793","713","276","437","6","2","4","5575","2271","3304","504","189","315","64","26","38","272","135","137",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Non-degree/certificate-seeking","256","90","166","0","0","0","20","10","10","79","20","59","15","3","12","0","0","0","107","40","67","10","1","9","0","0","0","25","16","9",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Graduate","8607","3019","5588","16","2","14","485","181","304","1281","270","1011","188","72","116","4","3","1","4394","1458","2936","188","60","128","903","272","631","1148","701","447","0",,"0","8607","-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1133","454","679","1","1","0","25","11","14","302","93","209","83","34","49","3","0","3","649","286","363","48","19","29","0","0","0","22","10","12",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","All students, Undergraduate, Other degree/certificatee-seeking, Continuing","9426","3585","5841","17","8","9","781","312","469","2299","715","1584","630","242","388","3","2","1","4926","1985","2941","456","170","286","64","26","38","250","125","125",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students total","15080","5686","9394","22","11","11","1266","483","783","3124","915","2209","879","319","560","5","2","3","7405","2843","4562","657","234","423","436","125","311","1286","754","532",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate total","10263","3836","6427","16","9","7","957","370","587","2551","794","1757","748","265","483","3","1","2","5101","2037","3064","529","188","341","74","23","51","284","149","135",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate, Degree/certificate-seeking total","10239","3822","6417","16","9","7","957","370","587","2550","794","1756","747","265","482","3","1","2","5100","2036","3064","527","188","339","74","23","51","265","136","129",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","2172","733","1439","2","1","1","238","88","150","615","168","447","188","59","129","0","0","0","960","358","602","121","38","83","17","2","15","31","19","12",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","8067","3089","4978","14","8","6","719","282","437","1935","626","1309","559","206","353","3","1","2","4140","1678","2462","406","150","256","57","21","36","234","117","117",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate, Non-degree/certificate-seeking","24","14","10","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","1","0","2","0","2","0","0","0","19","13","6",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Graduate","4817","1850","2967","6","2","4","309","113","196","573","121","452","131","54","77","2","1","1","2304","806","1498","128","46","82","362","102","260","1002","605","397",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","759","315","444","0","0","0","20","9","11","214","67","147","66","28","38","2","0","2","404","188","216","34","15","19","0","0","0","19","8","11",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","7308","2774","4534","14","8","6","699","273","426","1721","559","1162","493","178","315","1","1","0","3736","1490","2246","372","135","237","57","21","36","215","109","106",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students total","6559","2217","4342","14","1","13","285","121","164","1466","357","1109","232","92","140","5","3","2","3650","1296","2354","168","54","114","549","176","373","190","117","73",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate total","2769","1048","1721","4","1","3","109","53","56","758","208","550","175","74","101","3","1","2","1560","644","916","108","40","68","8","6","2","44","21","23",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate, Degree/certificate-seeking total","2537","972","1565","4","1","3","89","43","46","680","188","492","161","71","90","3","1","2","1454","605","849","100","39","61","8","6","2","38","18","20",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","45","22","23","0","0","0","2","2","0","14","6","8","7","1","6","0","0","0","19","12","7","2","0","2","1","1","0","0","0","0",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","2492","950","1542","4","1","3","87","41","46","666","182","484","154","70","84","3","1","2","1435","593","842","98","39","59","7","5","2","38","18","20",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate, Non-degree/certificate-seeking","232","76","156","0","0","0","20","10","10","78","20","58","14","3","11","0","0","0","106","39","67","8","1","7","0","0","0","6","3","3",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Graduate","3790","1169","2621","10","0","10","176","68","108","708","149","559","57","18","39","2","2","0","2090","652","1438","60","14","46","541","170","371","146","96","50",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","374","139","235","1","1","0","5","2","3","88","26","62","17","6","11","1","0","1","245","98","147","14","4","10","0","0","0","3","2","1",,,,,"-2"
"100663","University of Alabama at Birmingham","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","2118","811","1307","3","0","3","82","39","43","578","156","422","137","64","73","2","1","1","1190","495","695","84","35","49","7","5","2","35","16","19",,,,,"-2"
"104179","University of Arizona","2022","All students total","49403","21985","27418","697","229","468","2804","1246","1558","1993","906","1087","12683","5142","7541","93","43","50","23632","10372","13260","2341","957","1384","1658","933","725","3502","2157","1345","32",,"32","49371","-2"
"104179","University of Arizona","2022","All students, Undergraduate total","38751","17213","21538","496","173","323","2034","933","1101","1595","734","861","10696","4322","6374","83","40","43","18976","8328","10648","1956","803","1153","1014","591","423","1901","1289","612","2",,"2","38749","-2"
"104179","University of Arizona","2022","All students, Undergraduate, Degree/certificate-seeking total","37979","16758","21221","492","171","321","1999","918","1081","1573","720","853","10600","4282","6318","80","38","42","18746","8231","10515","1939","795","1144","692","336","356","1858","1267","591",,,,,"-2"
"104179","University of Arizona","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","9069","3830","5239","100","37","63","496","233","263","374","159","215","2490","989","1501","21","12","9","4556","1918","2638","491","184","307","174","75","99","367","223","144",,,,,"-2"
"104179","University of Arizona","2022","All students, Undergraduate, Other degree/certificate-seeking","28910","12928","15982","392","134","258","1503","685","818","1199","561","638","8110","3293","4817","59","26","33","14190","6313","7877","1448","611","837","518","261","257","1491","1044","447",,,,,"-2"
"104179","University of Arizona","2022","All students, Undergraduate, Non-degree/certificate-seeking","772","455","317","4","2","2","35","15","20","22","14","8","96","40","56","3","2","1","230","97","133","17","8","9","322","255","67","43","22","21",,,,,"-2"
"104179","University of Arizona","2022","All students, Graduate","10652","4772","5880","201","56","145","770","313","457","398","172","226","1987","820","1167","10","3","7","4656","2044","2612","385","154","231","644","342","302","1601","868","733","30",,"30","10622","-2"
"104179","University of Arizona","2022","All students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","2848","1372","1476","81","30","51","111","48","63","217","104","113","886","404","482","9","1","8","1274","651","623","139","57","82","69","39","30","62","38","24",,,,,"-2"
"104179","University of Arizona","2022","All students, Undergraduate, Other degree/certificatee-seeking, Continuing","26062","11556","14506","311","104","207","1392","637","755","982","457","525","7224","2889","4335","50","25","25","12916","5662","7254","1309","554","755","449","222","227","1429","1006","423",,,,,"-2"
"104179","University of Arizona","2022","Full-time students total","36323","15669","20654","473","162","311","2194","954","1240","1271","570","701","9269","3643","5626","60","29","31","17656","7453","10203","1790","713","1077","772","368","404","2838","1777","1061",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate total","30230","13047","17183","360","128","232","1689","762","927","1041","475","566","8179","3217","4962","55","28","27","15112","6400","8712","1561","622","939","491","233","258","1742","1182","560",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate, Degree/certificate-seeking total","30136","13006","17130","360","128","232","1688","761","927","1037","471","566","8165","3211","4954","53","27","26","15079","6390","8689","1558","621","937","487","230","257","1709","1167","542",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","6154","2602","3552","52","22","30","403","190","213","182","70","112","1458","599","859","13","8","5","3289","1351","1938","352","134","218","124","57","67","281","171","110",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","23982","10404","13578","308","106","202","1285","571","714","855","401","454","6707","2612","4095","40","19","21","11790","5039","6751","1206","487","719","363","173","190","1428","996","432",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate, Non-degree/certificate-seeking","94","41","53","0","0","0","1","1","0","4","4","0","14","6","8","2","1","1","33","10","23","3","1","2","4","3","1","33","15","18",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Graduate","6093","2622","3471","113","34","79","505","192","313","230","95","135","1090","426","664","5","1","4","2544","1053","1491","229","91","138","281","135","146","1096","595","501",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1739","812","927","52","22","30","63","28","35","106","49","57","565","235","330","6","1","5","774","389","385","78","31","47","35","20","15","60","37","23",,,,,"-2"
"104179","University of Arizona","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","22243","9592","12651","256","84","172","1222","543","679","749","352","397","6142","2377","3765","34","18","16","11016","4650","6366","1128","456","672","328","153","175","1368","959","409",,,,,"-2"
"104179","University of Arizona","2022","Part-time students total","13080","6316","6764","224","67","157","610","292","318","722","336","386","3414","1499","1915","33","14","19","5976","2919","3057","551","244","307","886","565","321","664","380","284",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate total","8521","4166","4355","136","45","91","345","171","174","554","259","295","2517","1105","1412","28","12","16","3864","1928","1936","395","181","214","523","358","165","159","107","52",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate, Degree/certificate-seeking total","7843","3752","4091","132","43","89","311","157","154","536","249","287","2435","1071","1364","27","11","16","3667","1841","1826","381","174","207","205","106","99","149","100","49",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","2915","1228","1687","48","15","33","93","43","50","192","89","103","1032","390","642","8","4","4","1267","567","700","139","50","89","50","18","32","86","52","34",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","4928","2524","2404","84","28","56","218","114","104","344","160","184","1403","681","722","19","7","12","2400","1274","1126","242","124","118","155","88","67","63","48","15",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate, Non-degree/certificate-seeking","678","414","264","4","2","2","34","14","20","18","10","8","82","34","48","1","1","0","197","87","110","14","7","7","318","252","66","10","7","3",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Graduate","4559","2150","2409","88","22","66","265","121","144","168","77","91","897","394","503","5","2","3","2112","991","1121","156","63","93","363","207","156","505","273","232",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1109","560","549","29","8","21","48","20","28","111","55","56","321","169","152","3","0","3","500","262","238","61","26","35","34","19","15","2","1","1",,,,,"-2"
"104179","University of Arizona","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","3819","1964","1855","55","20","35","170","94","76","233","105","128","1082","512","570","16","7","9","1900","1012","888","181","98","83","121","69","52","61","47","14",,,,,"-2"
"105330","Northern Arizona University","2022","All students total","28086","10274","17812","841","244","597","825","250","575","833","336","497","6960","2227","4733","68","30","38","15348","5658","9690","1505","545","960","763","457","306","943","527","416","0",,"0","28086","-2"
"105330","Northern Arizona University","2022","All students, Undergraduate total","23204","8550","14654","674","214","460","713","217","496","668","272","396","6094","2006","4088","61","27","34","12915","4960","7955","1341","511","830","294","126","168","444","217","227","0",,"0","23204","-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Degree/certificate-seeking total","23090","8497","14593","674","214","460","707","214","493","667","272","395","6082","1998","4084","61","27","34","12870","4940","7930","1339","511","828","246","104","142","444","217","227",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","5575","2100","3475","165","56","109","110","48","62","151","67","84","1507","528","979","17","5","12","3183","1213","1970","355","142","213","60","31","29","27","10","17",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Other degree/certificate-seeking","17515","6397","11118","509","158","351","597","166","431","516","205","311","4575","1470","3105","44","22","22","9687","3727","5960","984","369","615","186","73","113","417","207","210",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Non-degree/certificate-seeking","114","53","61","0","0","0","6","3","3","1","0","1","12","8","4","0","0","0","45","20","25","2","0","2","48","22","26","0","0","0",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Graduate","4882","1724","3158","167","30","137","112","33","79","165","64","101","866","221","645","7","3","4","2433","698","1735","164","34","130","469","331","138","499","310","189","0",,"0","4882","-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1777","596","1181","75","22","53","36","10","26","64","21","43","627","150","477","6","3","3","856","347","509","77","28","49","15","5","10","21","10","11",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Continuing","15738","5801","9937","434","136","298","561","156","405","452","184","268","3948","1320","2628","38","19","19","8831","3380","5451","907","341","566","171","68","103","396","197","199",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students total","22735","8513","14222","639","190","449","505","184","321","607","254","353","5668","1864","3804","58","25","33","12745","4800","7945","1280","489","791","329","200","129","904","507","397",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate total","20011","7504","12507","563","171","392","442","164","278","533","226","307","5227","1742","3485","56","24","32","11405","4415","6990","1191","468","723","167","83","84","427","211","216",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Degree/certificate-seeking total","20010","7503","12507","563","171","392","442","164","278","533","226","307","5227","1742","3485","56","24","32","11404","4414","6990","1191","468","723","167","83","84","427","211","216",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","5434","2052","3382","151","50","101","108","47","61","144","66","78","1468","513","955","16","5","11","3117","1192","1925","347","138","209","58","31","27","25","10","15",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","14576","5451","9125","412","121","291","334","117","217","389","160","229","3759","1229","2530","40","19","21","8287","3222","5065","844","330","514","109","52","57","402","201","201",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Non-degree/certificate-seeking","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Graduate","2724","1009","1715","76","19","57","63","20","43","74","28","46","441","122","319","2","1","1","1340","385","955","89","21","68","162","117","45","477","296","181",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1287","489","798","59","20","39","27","9","18","38","17","21","446","116","330","4","2","2","626","287","339","57","25","32","10","3","7","20","10","10",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","13289","4962","8327","353","101","252","307","108","199","351","143","208","3313","1113","2200","36","17","19","7661","2935","4726","787","305","482","99","49","50","382","191","191",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students total","5351","1761","3590","202","54","148","320","66","254","226","82","144","1292","363","929","10","5","5","2603","858","1745","225","56","169","434","257","177","39","20","19",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate total","3193","1046","2147","111","43","68","271","53","218","135","46","89","867","264","603","5","3","2","1510","545","965","150","43","107","127","43","84","17","6","11",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate, Degree/certificate-seeking total","3080","994","2086","111","43","68","265","50","215","134","46","88","855","256","599","5","3","2","1466","526","940","148","43","105","79","21","58","17","6","11",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","141","48","93","14","6","8","2","1","1","7","1","6","39","15","24","1","0","1","66","21","45","8","4","4","2","0","2","2","0","2",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","2939","946","1993","97","37","60","263","49","214","127","45","82","816","241","575","4","3","1","1400","505","895","140","39","101","77","21","56","15","6","9",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate, Non-degree/certificate-seeking","113","52","61","0","0","0","6","3","3","1","0","1","12","8","4","0","0","0","44","19","25","2","0","2","48","22","26","0","0","0",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Graduate","2158","715","1443","91","11","80","49","13","36","91","36","55","425","99","326","5","2","3","1093","313","780","75","13","62","307","214","93","22","14","8",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","490","107","383","16","2","14","9","1","8","26","4","22","181","34","147","2","1","1","230","60","170","20","3","17","5","2","3","1","0","1",,,,,"-2"
